;id;date;Tipo Comentario;comentario;NPS score;NPS nivel;canales mencionados;mención canal digital;mención canal telefónico;mención canal físico;relevancia;problema producto;problema canal;problema servicio
5322;101024067;27/04/2020;1;La atención correcta pero todavía esperando a que la oficina se ponga en contacto conmigo como se me aseguró;7;NEUTRO;['oficina'];FALSO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO
7477;104023438;02/06/2020;1;La persona resolvió lo que yo quería resolver de forma rápida, sin tratar de venderme nada y no me tuvieron en espera. Gracias;9;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
2745;96816742;09/03/2020;1;Me han atendido genial, pero tengo dudas si me va a valer o no la consulta.;9;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
8514;106016087;24/06/2020;1;* Amabilidad * Prestar atención y no hablar con mucha prisa * Tener el entendimiento, conocimiento y respuesta a la pregunta planteada * En general, atención oportuna;10;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
3669;98541242;31/03/2020;1;He tenido un problema y teniendo en cuenta por lo que estamos pasando mi gestora ha estado a la altura de atención.;10;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
8045;105229642;16/06/2020;1;Tiempo de espera elevado.  No pudieron tomar orden de lo que quería y no supieron si el gestor telefónico podría.;5;DETRACTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
4486;99847405;13/04/2020;1;Es una pedadilla la atencion al cliente tanto en mi zona como desde la central de Madrid.HE HECHO CONCO LLAMADAS Y NO NE HAN RESUELTO EL PROBLEMA.TODAS LAS SUCURSALES CERRADAS  CON LA PANDEMIA Y AL CLIENTE QUE LE DEN.MUY MAL!!?;1;DETRACTOR;['atencion al cliente', 'LLAMADAS'];FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO
10484;108924314;31/07/2020;0;Me aumentaron la hipoteca sin aviso estoy de baja por un ictus por lo tanto sin trabajar la situación actual complica todo y no esperaba esto;1;DETRACTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
2171;95345113;21/02/2020;1;La chica que me atendió muy bien pero mi gestor de oficina Sergio no me ayuda;5;DETRACTOR;['oficina'];FALSO;FALSO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO
16237;120954464;28/12/2020;1;Hasta el momento todo bien en las  explicaciones y soluciones dadas por los asesores telefónicos.;9;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
11619;110217472;20/08/2020;1;Me ha solucionado el problema al instante una chica llamada Maria, un servicio rápido y sin líos;10;PROMOTOR;['llamada'];FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO
7014;103239736;23/05/2020;1;Buena atención, sencillez de funcionamiento de la app y sistema telefónico, que directamente conecta con una persona cualificada que ayuda inmediatamente;10;PROMOTOR;['app'];VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
4159;99497223;07/04/2020;1;Pues aunque no me a valido el código que me a enviado la chica ya que solo se podian poner 4 cifras y el código tiene 6 a sido muy amable;10;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
13602;114212589;12/10/2020;1;NO ME HAN DADO NINGUNA SOLUCIÓN EFECTIVA YA QUE NO ME HAN SOLUCIONADO NADA, SOLO ME HAN DICHO QUE INTERPONGA UNA DENUNCIA EN LA POLICIA;7;NEUTRO;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
30;90931237;02/01/2020;2;La atención lamentable. Llevan desde mayo sin solucionarme un siniestro de el seguro de hogar que me obligaron a contratar cuando hice la hipoteca.    He pedido hablar con un responsable y no me dan soluciones, ademas me dan indicaciones de forma verbal. Por favor llámenme. Pedro Benito 636470751;6;DETRACTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
7009;103236806;23/05/2020;2;Rápida atención. Clara y favorable información. Creo que el martes me puedan solucionar el reenvolso que por uso indebido han realizado de mi tarjeta sin mi autorización.;10;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO
1524;93788195;05/02/2020;2;He fet una trasferència des del mòbil i al final em deien que escribís el codi que mhavia arribat al mòbil. Per tant havia de passar a missatges, i la trasferència sanul·lava.  He trucat el telèfon que hi havia i  al final mhan indicat el codi. Seria més fàcil si mel diguessin primer. He hagut de començar la traferència tres vegades;7;NEUTRO;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
7730;104550972;09/06/2020;1;Realmente no hay ayuda porque le solicitas algo y te dicen que no son ellos quienes lo tienen que hacer;3;DETRACTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
9395;107230677;08/07/2020;3;Ha conseguido pedir una cita presencial a una entidad bbva en Granada diferente a la mía.;10;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
3120;97619012;20/03/2020;0;El motivo de mi llamada fue por saber si me podían cancelar el pago de este mes  de mi crédito ya que me veré sin posibilidad de poder pagarlo gracias;8;NEUTRO;['llamada'];FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO
15672;120082718;16/12/2020;1;El  trabajador que me atendio muy servicial y dispuesto a ayudar a resolver mi problema respetando los codigos de seguridad, donde tuve un atendimiento rapido y eficaz.;9;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
8023;105230940;16/06/2020;1;El servicio me ha tardado 7 intentos de llamada además no tiene prácticamente herramientas de resolución.;0;DETRACTOR;['llamada'];FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO
5828;101631340;04/05/2020;1;En las dos ocasiones en las que he llamado, me han atendido enseguida y muy bien, ayudándome y resolviendo mis dudas.;10;PROMOTOR;['llamado'];FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO
10000;108226693;21/07/2020;1;Decían que tenían un error y qué volviera a llamar pasados unos minutos... Así cuatro veces contando lo mismo para al final decirme que me acerque a una oficina;0;DETRACTOR;['oficina'];FALSO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO
10451;108854581;30/07/2020;3;Pido disculpas por mi valoración anterior. Todo ha ido perfecto. Muchas gracias. Fue un error mío;10;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
4730;100218062;16/04/2020;1;Mi valoración es de 10,porque a día de hoy cualquier duda que se me ha presentado me han dado solución y buena explicación.;10;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
15072;116976204;10/11/2020;0;Durante el Estado de Alarma al bajar la basura perdí el DNI no se como, lo llevaba en el bolsillo por si me lo podía la policía y tenía temor que quien lo encontrara lo utilizara en caja pues había un BBVA físico disponible en Zaragoza capital, yo llamaba al teléfono de esa oficina y nunca lo cogían, yo sólo quería que constara para que no pudieran sacar dinero con mi DNI, así que llamé a la central de Madrid y una operaria fue muy amable y me tranquilizó diciendo que ya lo había anotado y que era improbable que sucediera. Fue un alivio y se lo agradecí a esta señora. Concha Blasco;9;PROMOTOR;['caja', 'llamaba', 'teléfono', 'oficina'];FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO
4720;100201889;16/04/2020;1;Han tardado más de diez minutos en atenderme  al teléfono,  después muy bien.;8;NEUTRO;['teléfono'];FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO
11284;109686577;11/08/2020;3;"He demanat un Petit antiçipo i no m""hu han adelantat perque faltan 18días per cobrar, peró als 30euros de descobert si q hu cobran. Quant demano un antiçipo hu descompten quant cobro.";0;DETRACTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
7894;104945657;12/06/2020;1;La atención telefonica a sido muy correcta, pero para el tramite que quiero tengo que ir a una oficina física, y concretamente la 0973 tiene un trato pesimo con las personas mayoes;5;DETRACTOR;['oficina'];FALSO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO
;92122398;16/01/2020;1;La asesora me ha mencionado algunas cuentas corrientes que no han sido satisfactorias para mi, sin embargo, a pesar que le he mencionado que buscaba para aut�nomos y que mis ingresos iban a fluctuar no me ha ofrecido ninguna cuenta que se ajustar� a mis necesidades. Ej. Cuenta negocios. Me ha desviado a la p�gina web o a oficinas presenciales.;5;DETRACTOR;['web', 'oficinas'];VERDADERO;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;
;90771752;30/12/2019;0;he olvidado la clase y tengo problemas para volver a ver en lineas los movimientos de mi cuenta.;6;DETRACTOR;[];FALSO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;
;92152400;17/01/2020;3;Al llamar he comentado que no pod�a entrar por la web a mi cuenta y simplemente me han dicho que estar�a metiendo mal la clave (y obviamente no es ese el caso si uso la misma clave para la App). Eso s�, me han ayudado a cambiar la direcci�n postal, que era para lo que quer�a entrar.;8;NEUTRO;['web', 'App'];VERDADERO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;
;92197317;17/01/2020;0;Necesitaba recuperar la contrase�a y no me la dieron. El motivo es que una de las preguntas eran los �ltimos movimientos. Tengo una cuenta sin tarjeta ni recibos domiciliados, en la q no hay movimientos. Recordaba una transferencia de hace varios meses, pero no s� el importe, por lo que no me solucionaron nada. La �nica opci�n es ir a una oficina, para lo que tengo que pedir permiso y perder tiempo de trabajo;1;DETRACTOR;['oficina'];FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;
;92223907;18/01/2020;0;Bloqueo de cuenta un viernes, sin poder ir a la oficina y dejando sin dinero al cliente, sin avisar.;0;DETRACTOR;['oficina'];FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;
;92241223;19/01/2020;0;mala gesti�n y enga�a al cliente y le retrasa el tener una tarjeta 10 dias. Se�ores estamos en el a�o 2020, y na tarjeta 10 d�as es muy mal servicio. Cualquier duda. Miguel 674721941;0;DETRACTOR;[];FALSO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;
